urdu_text,phonemes,ipa,is_valid,attempts
آؤ,aː u,/aːuː/,True,1
آؤت,aː u t,/aːut/,True,1
آؤر,aː u r,/aːur/,True,1
آؤرال,aː u r aː l,/aːurɑːl/,True,1
آؤرٹ,aː u r t,/aːurt/,True,1
آؤرگان,aː u r g ɑː n,/aːurɡɑːn/,True,1
آؤز,aː u z,/aːuz/,True,1
آؤسکلٹیشن,aː u s k l e t ɪ ʃ ə n,/aːuskletɪʃən/,True,1
آؤشوِٹس,aː u ʃ u i t s,/aːushuits/,True,1
آؤف,aː u f,/aːuf/,True,1
آؤلڈ,aː u l d,/aːuld/,True,1
آؤلی,aː u l i,/aːuli/,True,1
آؤن,aː u n,/aːun/,True,1
آؤنسز,aː u n s z,/aːuns/,True,1
آؤنوریلز,aː u n ɔː r ɪ l z,/aːnɔːrɪlz/,True,1
آؤنٹ,aː u n t,/aːunt/,True,1
آؤنڈز,aː u n d z,/aːundz/,True,1
آؤٹ,aː u t,/aːt̪/,True,1
آؤٹر,aː u t ɾ,/aːt̪ʊɾ/,True,1
آؤٹربرج,aː u t ɾ b ɾ ʒ,/aːt̪əɾbərʒ/,True,1
آؤٹریم,aː u t ɾ iː m,/aːt̪əɾiːm/,True,1
آؤٹریچ,aː u t ɾ iː t͡ʃʰ,/aːt̪ərɪt͡ʃʰ/,True,1
آؤٹریگر,aː u t ɾ iː ɡ r,/aːt̪ərɡər/,True,1
آؤٹریگرز,aː u t ɾ iː ɡ ɾ z,/aːt̪ərɡərz/,True,1
آؤٹس,aː u t s,/aːts/,True,1
آؤٹسٹیشن,aː u t s t ɪ ʃ ə n,/aːtsˈtɪʃən/,True,1
آؤٹفٹر,aː u t ̪f t ɾ,/aːtfʊt̪ər/,True,1
آؤٹلیئرز,aː u t l iː ər z,/aːtliːərz/,True,1
آؤٹلیٹ,aː u t l iː t,/aːtliːt/,True,1
آؤٹومیٹونپیا,aː u t̪ oː m iː t̪ oː n p j aː,/aːt̪oːmɪt̪onaːpɪa/,True,1
آؤٹپٹ,aː u t p ɪ t,/aːtpɪt/,True,1
آؤٹپٹس,aː u t p ɪ t s,/aːtpɪts/,True,1
آؤٹپینٹنگ,aː u t p e n t ɪ ŋ,/aːtpen tɪŋ/,True,1
آؤٹڈور,aː u t d ʊ r,/aːt̪dʊr/,True,1
آؤٹڑنگ,aː u t ɾ ŋ,/aːt̪əɾŋ/,True,1
آؤٹکالٹ,aː u t k ɑː l t,/aːtkɑːlt/,True,1
آؤٹکمز,aː u t k ʊ m z,/aːt̪kʊmz/,True,1
آؤپٹیکل,aː u p t ɪ k ə l,/aːptɪkəl/,True,1
آؤڈی,aː u d i,/aːdi/,True,1
آؤڈے,aː u ɖ eː,/aːɖeː/,True,1
آؤگر,aː u ɡ r,/aːgur/,True,1
آؤگسبرگ,aː u ɡ s b ɾ ɡ,/aːgsbərg/,True,1
آؤگی,aː u ɡ i,/aːgi/,True,1
آؤگے,aː u ɡ e,/aːge/,True,1
آؤں,aː u,/aːuː/,True,1
آؤی,aː u i,/aːui/,True,1
آؤ۔لوگ,aː u l ɡ,/aːulɡ/,True,1
آئ,aː iː,/aːiː/,True,1
آئبوپروفین,aː b o p ɾ oː f iː n,/aːbupoːˈɾofiːn/,True,1
آئبیریا,aː b iː r iː a,/aːbiːriːa/,True,1
آئبیریائی,aː b iː r iː j aː,/aːbiːriːaː/,True,1
آئبیرین,aː b iː r iː n,/aːbiːriːn/,True,1
آئتمی,aː t m i,/aːtmi/,True,1
آئتھیکا,aː t̪ ɦ eː k ɑː,/aːt̪eːkaː/,True,1
آئتہ,aː t̪ ɦ a,/aːt̪ə/,True,1
آئتی,aː t̪ i,/aːti/,True,1
آئجیئس,aː ʒ iː ɪ s,/aːʒiːəs/,True,1
آئخورن,aː x or n,/aːxorn/,True,1
آئر,aː ɪ r,/aːər/,True,1
آئرا,aː r ɪ ː r ɑ,/aːˈraː/,True,1
آئرز,aː r z,/aːrz/,True,1
آئرس,aː r s,/aːrs/,True,1
آئرش,aː r ʃ,/aːrʃ/,True,1
آئرشوں,aː r ʃ oː n,/aːrʃoːn/,True,1
آئرفکلڈ,aː r f ɪ k l d,/aːrˈfɪkəld/,True,1
آئرلینڈ,aː r l ɪ n d,/aːrˈlænd/,True,1
آئرن,aː r n,/aːrn/,True,1
آئرننگ,aː r n ɪ ŋ,/aːrˈnɪŋ/,True,1
آئرنکلاد,aː r n k l ɑː d,/aːrˈnəklaːd/,True,1
آئرنیٹ,aː r n iː t,/aːrˈniːt/,True,1
آئرولو,aː r u l o,/aːˈruːl o/,True,1
آئروناٹیکل,aː r u n ɑː t ɪ k əl,/aːrɔːˈnɑːtɪkəl/,True,1
آئرکلیڈ,aː r k l ɪ d,/aːrkˈliːd/,True,1
آئرہ,aː r ə,/aːrə/,True,1
آئرہارت,aː r h ɑː r t,/aːrˈhɑːrt/,True,1
آئریین,aː r iː n,/aːrˈiːn/,True,1
آئز,aː z,/aːz/,True,1
آئس,aː s,/aːs/,True,1
آئسا,aː s ɑː,/aːsɑː/,True,1
آئسبرگ,aː s b ɜː r g,/aːsˈbɜːrɡ/,True,1
آئسترینڈ,aː s t r ɪ n d,/aːstrɛnd/,True,1
آئسس,aː s ɪ s,/aːsɪs/,True,1
آئسل,aː s əl,/aːsəl/,True,1
آئسلنٹن,aː s l ə n t ɪ n,/aːsləntɪn/,True,1
آئسلینڈ,aː s l ɑː n d,/aːsˈlænd/,True,1
آئسن,aː s n,/ɑːsən/,True,1
آئسنگ,aː s ŋ,/aːsˈŋ/,True,1
آئسو,aː s o,/ɑːso/,True,1
آئسوئلیکٹرک,aː s u w ɪ l e k t r ɪ k,/aːsuːˈlɛktrɪk/,True,1
آئسوئلیکٹریک,aː s u w ɪ l e k t r ɪ k,/aːsuːˈlɛktrɪk/,True,1
آئسوالیریڈ,aː s w ɑː l ɪ r ɪ d,/aːswɑːlɪrɪd/,True,1
آئسوایزولزول,aː s u aɪ z oː l z oː l,/aːsuˈaɪzɔːlzɔːl/,True,1
آئسوایلیکٹرک,aː s u aɪ l ɪ k t r ɪ k,/aːsuˈaɪlɪktrɪk/,True,1
آئسوبیوٹورانائٹ,aː s u b j u t o ɾ ɑː n a ɪ t,/aːsubˈjʊtɔːrɑːnaɪt/,True,1
آئسوت,aː s u t,/aːsʊt/,True,1
آئسوترمک,aː s u t ɹ m ɪ k,/aːsʊtˈɹmɪk/,True,1
آئسوتوپ,aː s u t o p,/aːsutop/,True,1
آئسوتوپک,aː s u t o p k,/aːsutopk/,True,1
آئسوتوپیک,aː s u t o p ɪ k,/aːsutopɪk/,True,1
آئسوتوپیکل,aː s u t o p ɪ k əl,/aːsutopɪkəl/,True,1
آئری,aː r iː,/aːˈriː/,True,1
آئریس,aː r iː s,/aːˈriːs/,True,1
آئریش,aː r iː ʃ,/aːˈriːʃ/,True,1
آئرین,aː r iː n,/aːˈriːn/,True,1
آئریٹنٹ,aː r iː t n ʈ,/aːˈriːʈənt/,True,1
آئریڈم,aː r iː d m,/aːˈriːdm/,True,1
آئریں,aː r iː n,/aːˈriːn/,True,1
آئزاک,aː z aː k,/aːˈzɑːk/,True,1
آئزاکسن,aː z aː k s n,/aːˈzɑːksən/,True,1
آئزن,aː z n,/aːzən/,True,1
آئزنبرگ,aː z n b ə r g,/aːzənˈbərg/,True,1
آئزنبیرگ,aː z n b iː r g,/aːzənˈbiːrg/,True,1
آئزنَچ,aː z n ŋ,/aːzənt͡ʃ/,True,1
آئزنکوٹ,aː z n k o t,/aːzənˈkoːt/,True,1
آئزنی,aː z n iː,/aːzˈniː/,True,1
آئزنینٹز,aː z n iː n t s,/aːzˈniːnts/,True,1
آئزو,aː z u,/aːzuː/,True,1
آئزومز,aː z uː m z,/aːzuːm z/,True,1
آئزومس,aː z uː s,/aːzuːs/,True,1
آئزومیاتی,aː z uː m iː j aː t iː,/aːzuːmiːjɑːtiː/,True,1
آئزک,aː z k,/aːzək/,True,1
آئزکس,aː z k s,/aːzeks/,True,1
آئزکسن,aː z k s n,/aːzəkson/,True,1
آئزیک,aː z iː k,/aːzīk/,True,1
آئسوتوپیکلی,aː ɪ s o u t o p eː k l i,/aːjsːoːtuːˈpoːkliː/,True,1
آئسوتھرمال,aː ɪ s o u t ɦ ɪ r m aː l,/aːjsːoːt͡ʃʰərˈmaːl/,True,1
آئسوتھرمیک,aː ɪ s o u t ɦ ɪ r m ɪ k,/aːjsːoːt͡ʃʰərˈmɛk/,True,1
آئسوتی,aː ɪ s o u t iː,/aːjsːoːtiː/,True,1
آئسورامیول,aː ɪ s o u r aː m iː ʊ l,/aːjsːoːraːmijoːl/,True,1
آئسوسیٹرٹ,aː ɪ s o u s i t ɾ ɪ ʈ,/aːjsːoːsɪʈːəɾt/,True,1
آئسوسیٹریٹ,aː ɪ s o u s i t ɾ iː t,/aːjsːoːsɪt̺ɾiːt/,True,1
آئسوفرمز,aː ɪ s o u f ɾ m z,/aːjsːoːfɾməz/,True,1
آئسوفریلیشن,aː ɪ s o u f ɾ ɪ l j aː ʃ ɪ n,/aːjsːoːfɾɪliːʃən/,True,1
آئسوفورن,aː ɪ s o u f o ɾ ɪ n,/aːjsːoːfoːɾɪn/,True,1
آئسوفینٹانول,aː ɪ s o u f ɪ n t aː n o l,/aːjsːoːfɪntɑːnɔl/,True,1
آئسولاریسیریسنول,aː ɪ s o l aː ɾ ɪ s iː ɾ i s n o l,/aːjsːoːlɑːɾɪsiːriːsnoːl/,True,1
آئسولیشن,aː ɪ s o l ɪ ʃ n,/aːjsːoːlɪʃn/,True,1
آئسولیوئین,aː ɪ s o l j u iː n,/aːjsːoːljuːiːn/,True,1
آئسولیوکین,aː ɪ s o l j u k iː n,/aːjsːoːljukuːiːn/,True,1
آئسولیوین,aː ɪ s o l j u iː n,/aːjsːoːljuːiːn/,True,1
آئسولیٹ,aː ɪ s o l i t,/aːjsːoːlɪt/,True,1
آئسولیٹر,aː ɪ s o l i t ɾ,/aːjsːoːlɪt̺/,True,1
آئسولیٹڈ,aː ɪ s o l i t t e d,/aːjsːoːlɪttɛd/,True,1
آئسولیکٹرک,aː ɪ s o l i k t ɾ ɪ k,/aːjsːoːlɪkɾt̺ɾɪk/,True,1
آئسومر,aː ɪ s o m ɾ,/aːjsːoːmɾ/,True,1
آئسومرائز,aː ɪ s o m ɾ aː i z,/aːjsːoːmɾaːi z/,True,1
آئسومرائزیشن,aː ɪ s o m ɾ aː i z eɪ ʃ n,/aːjsːoːmɾaːi zəʃn/,True,1
آئسومرائزیشنز,aː ɪ s o m ɾ aː i z eɪ ʃ n z,/aːjsːoːmɾaːi zəʃnz/,True,1
آئسومرائیزیشن,aː ɪ s o m ɾ aː i z eɪ ʃ n,/aːjsːoːmɾaːi zəʃn/,True,1
آئسومراز,aː ɪ s o m ɾ ɑː z,/aːjsːoːmɾɑːz/,True,1
آئسومرز,aː ɪ s o m ɾ z,/aːjsːoːmɾz/,True,1
آئسومرزم,aː ɪ s o m ɾ z m,/aːjsːoːmɾz m/,True,1
آئسومریٹائز,aː ɪ s o m ɾ iː t aɪ z,/aːjsːoːmɾiːt̺aɪz/,True,1
آئسومیری,aː ɪ s o m ɾ iː,/aːjsːoːmɾiː/,True,1
آئسومیریز,aː ɪ s o m ɾ iː z,/aːjsːoːmɾiːz/,True,1
آئسومیریزی,aː ɪ s o m ɾ iː z iː,/aːjsːoːmɾiːziː/,True,1
آئسومیریزیشن,aː ɪ s o m ɾ iː z eɪ ʃ n,/aːjsːoːmɾiːzəʃn/,True,1
آئسومیٹرک,aː ɪ s o m ɾ ɪ t k,/aːjsːoːmɾɪt̺k/,True,1
آئسومیٹری,aː ɪ s o m ɾ ɪ t ɾ iː,/aːjsːoːmɾɪt̺iː/,True,1
آئسومیٹریز,aː ɪ s o m ɾ ɪ t ɾ ɪ z,/aːjsːoːmɾɪtiːz/,True,1
آئسومیٹریک,aː ɪ s o m ɾ ɪ t ɾ ɪ k,/aːjsːoːmɾɪt̺ɾɪk/,True,1
آئسوولیومیٹریک,aː ɪ s o u l i o m ɪ t ɾ ɪ k,/aːjsːoːlijoːmiːt̺ɾɪk/,True,1
آئسوویلری,aː ɪ s o u v e l ɾ iː,/aːjsːoːvɛlˈlɾiː/,True,1
آئسوٹ,aː ɪ s o t,/aːjsːoːt/,True,1
آئسوٹائپ,aː ɪ s o t a i p,/aːjsːoːtaɪp/,True,1
آئسوٹاپ,aː ɪ s o t a p,/aːjsːoːtɑːp/,True,1
آئسوٹاپس,aː ɪ s o t a p s,/aːjsːoːtɑːps/,True,1
آئسوٹاپک,aː ɪ s o t a p k,/aːjsːoːtɑːpk/,True,1
آئسوٹرو,aː ɪ s o t ɾ oʊ,/aːjsːoːt̺roʊ/,True,1
آئسوٹروپک,aː ɪ s o t ɾ o p k,/aːjsːoːt̺roːp k/,True,1
آئسوٹروپیک,aː ɪ s o t ɾ o p ɪ k,/aːjsːoːt̺roːpɪk/,True,1
آئسوٹو,aː ɪ s o t oʊ,/aːjsːoːtoʊ/,True,1
آئسوٹوالیوگولز,aː ɪ s o t w aː l i j u ɡ oː l z,/aːjsːoːtwɑːliːjuːɡoːlz/,True,1
آئسوٹوب,aː ɪ s o t oː b,/aːjsːoːtoːb/,True,1
آئسوٹوبز,aː ɪ s o t oː b z,/aːjsːoːtoːbz/,True,1
آئسوٹوبول,aː ɪ s o t oː b oʊ l,/aːjsːoːtoːbɔl/,True,1
آئسوٹوبک,aː ɪ s o t oː b k,/aːjsːoːtɔb k/,True,1
آئسوٹوفیکٹ,aː ɪ s o t o f ɪ k t,/aːjsːoːt̺oːfɪkt/,True,1
آئسوٹولوجی,aː ɪ s o t o l o ʒ iː,/aːjsːoːt̺oːlɔːdʒiː/,True,1
آئسوٹولوجیز,aː ɪ s o t o l o ʒ i z,/aːjsːoːt̺oːlɔːdʒɪz/,True,1
آئسوٹولوگز,aː ɪ s o t o l o ɡ z,/aːjsːoːt̺oːloɡz/,True,1
آئسوٹومرز,aː ɪ s o t o m ɾ z,/aːjsːoːt̺omɾz/,True,1
آئسوٹوٹپ,aː ɪ s o t oʊ t p,/aːjsːoːt̺oːt̺p/,True,1
آئسوٹوٹپس,aː ɪ s o t oʊ t p s,/aːjsːoːt̺oːt̺ps/,True,1
آئسومریزیشن,aː i s uː m ɾ iː z e ɪ ʃ ən,/aːisuːmrizəˈʃən/,True,1
آئسومیرز,aː i s uː m iː r z,/aːisuːmirz/,True,1
آئسومیرو,aː i s uː m iː r o,/aːisuːmiːro/,True,1
آئسومیروں,aː i s uː m iː r oː n,/aːisuːmiːroːn/,True,1
آئسوٹوپ,aː i s uː t oː p,/aːisutop/,True,1
آئسوٹوپاتی,aː ɪ s oː t oː t ̪ oː p ɑː t i,/aːjsˈoːt̪oːt̪oːˈpɑːti/,True,1
آئسوٹوپز,aː ɪ s oː t oː p z,/aːjsˈoːt̪oːpəz/,True,1
آئسوٹوپس,aː ɪ s oː t oː p s,/aːjsˈoːt̪oːpəs/,True,1
آئسوٹوپلی,aː ɪ s oː t oː p l i,/aːjsˈoːt̪oːpli/,True,1
آئسوٹوپلیبل,aː ɪ s oː t oː p l i b əl,/aːjsˈoːt̪oːpliːbəl/,True,1
آئسوٹوپولائیگز,aː ɪ s oː t oː p oː l aː ɪ gz,/aːjsˈoːt̪oːpoːlaːɪgz/,True,1
آئسوٹوپولائیگوں,aː ɪ s oː t oː p oː l aː ɡ ʊ n,/aːjsˈoːt̪oːpɔːlaːɡoːn/,True,1
آئسوٹوپولس,aː ɪ s oː t oː p ʊ l s,/aːjsˈoːt̪oːpʊls/,True,1
آئسوٹوپولوجیز,aː ɪ s oː t oː p ɒ l ə d ͡ʒ ɪ z,/aːjsˈoːt̪oːpɒləd͡ʒɪz/,True,1
آئسوٹوپولوگ,aː ɪ s oː t oː p oː l uː ɡ,/aːjsˈoːt̪oːp oːluːɡ/,True,1
آئسوٹوپولگز,aː ɪ s oː t oː p ʊ l ɡ z,/aːjsˈoːt̪oːpʊlɡz/,True,1
آئسوٹپ,aː ɪ s oː t p,/aːjsˈoːt̪p/,True,1
آئسوٹپس,aː ɪ s oː t p s,/aːjsˈoːt̪pəs/,True,1
آئسوٹھرمائل,aː ɪ s oː t ʰ ɾ ɑː i l,/aːjsˈoːt̪t̪ʰɾɑːɪl/,True,1
آئسوٹیلز,aː ɪ s oː t iː l z,/aːjsˈoːt̪iːlz/,True,1
آئسوٹیوپ,aː ɪ s oː t i oː p,/aːjsˈoːtiːɔːp/,True,1
آئسوٽوپ,aː ɪ s oː t oː p,/aːjsˈoːt̪oːp/,True,1
آئسوپت,aː ɪ s oː p t,/aːjsˈoːpt/,True,1
آئسوپتک,aː ɪ s oː p t k,/aːjsˈoːptk/,True,1
آئسوپروٹین,aː ɪ s oː p ɾ oː t iː n,/aːjsˈoːpɾoːtiːn/,True,1
آئسوپروپائل,aː ɪ s oː p ɾ oː p aɪ l,/aːjsˈoːpɾoːpaɪl/,True,1
آئسوپروپائلکاربوڈیائمائیڈ,aː ɪ s oː p ɾ oː p aɪ l k ɑː ɾ b oː d j aː m aː ɪ d,/aːjsˈoːpɾoːpailaːrboːd͡ʒjɑːmɑːɪd/,True,1
آئسوپروپانول,aː ɪ s oː p ɾ oː p aː n oː l,/aːjsˈoːpɾoːpɑːnoːl/,True,1
آئسوپروپوکسیڈ,aː ɪ s oː p ɾ oː p o k s iː d,/aːjsˈoːpɾoːpoksīd/,True,1
آئسوپروپین,aː ɪ s oː p ɾ oː p iː n,/aːjsˈoːpɾoːpin/,True,1
آئسوپرین,aː ɪ s oː p ɾ iː n,/aːjsˈoːpɾin/,True,1
آئسوپرینوئڈ,aː ɪ s oː p ɾ iː n uː ɪ d,/aːjsˈoːpɾinˈuːɪd/,True,1
آئسوپریٹینول,aː ɪ s oː p ɾ iː t̪ iː n ʊ l,/aːjsˈoːpɾit̪iːnʊl/,True,1
آئسوپریں,aː ɪ s oː p ɾ eː n,/aːjsˈoːpɾeːn/,True,1
آئسوپورینائیڈ,aː ɪ s oː p ɾ uː n aː ɪ d,/aːjsˈoːpɾuːnaɪd/,True,1
آئسوپوٹیکلی,aː ɪ s oː p ʊ t̪ iː k l i,/aːjsˈoːpʊt̪ikli/,True,1
آئسوپیریبول,aː ɪ s oː p ɪ ɾ iː b oː l,/aːjsˈoːpɪɾibɔːl/,True,1
آئسوپینٹینیل,aː ɪ s oː p iː n t̪ iː n eː l,/aːjsˈoːpinˌtiːnɛl/,True,1
آئسوکسیولائنز,aː ɪ s oː k s iː oː l aː i n z,/aːjsˈoːksɪɔːlaɪnz/,True,1
آئسوکوئنولینیم,aː ɪ s oː k s uː e n oː l iː n iː m,/aːjsˈoːksuːeːnɔːliniːm/,True,1
آئسوکورک,aː ɪ s oː k uː r,/aːjsˈoːkʊr/,True,1
