urdu_text,phonemes,ipa,is_valid,attempts
عائشہ,ʕ aː ɪ ʃ ə,/ʕaːˈɪʃə/,True,1
عطیہ,ʕ ʈ iː j ə,/ʕʈiːˈjə/,True,1
طور,t̪ uː r,/t̪uːr/,True,1
غلط,ɣ a l t̪,/ɣəlˈt̪/,True,1
آرمینیا,ɑː r m iː n iː aː,/ɑːrmɪˈniːaː/,True,1
آرٹکھیل,ɑː r ʈ k ʰ eː l,/ɑːrʈˈkʰeːl/,True,1
ابوالیما,ɑ b w aː l i m a,/abwɑːliˈmɑ/,True,1
اجازت,ɑ d͡ʒ aː z ə t̪,/əd͡ʒɑːˈzət̪/,True,1
احمد,ɑ ɦ m ə d,/ʔəˈħməd/,True,1
اخباراور,ɑ x b aː r ɑː v ə r,/ɑxbɑːrˈɑːvər/,True,1
اخبار,ɑ x b aː r,/ɑxbɑːr/,True,1
اخلاق,ɑ x l aː q,/ʔxʊˈlɑːq/,True,1
اردو,ʊ r d uː,/ʊrˈduː/,True,1
ازبکستان,ɑ z b ə k s t aː n,/əzbəksˈtɑːn/,True,1
اللہ,ɑ l l aː h,/ɐlˈlɑːh/,True,1
انگلینڈ,ʊ ŋ ɡ l eː n d,/ʊŋˈɡleːnd/,True,1
اولاد,oː w l aː d,/oːlɑːˈd/,True,1
ایران,eː r ɑː n,/eːˈrɑːn/,True,1
بالخصوص,b aː l k ʰ u s u s,/bɑːlχʊˈsuːs/,True,1
برطانوی,b ə r t ə n w iː,/bərtənˈwiː/,True,1
بزرگ,b ə z r ə ɡ,/bəˈzrəɡ/,True,1
بچوں,b ə t͡ʃ oː,/bəˈt͡ʃoː/,True,1
بکھرواہ,b ɪ k ʰ r w ɑː,/bɪkʰrˈwɑː/,True,1
بھارت,b ʰ aː r t̪,/bʰɑːrˈt̪/,True,1
تبلیغ,t ə b l iː ɣ,/təblɪˈɣ/,True,1
تراش,t ə r aː ʃ,/tərəːʃ/,True,1
ترکی,t ʊ r k iː,/tʊrˈkiː/,True,1
تقریبا,t a ɣ r ɪ b ɑː,/t̪əɣrɪˈbɑː/,True,1
تنوار,t ə n w ɑː r,/tənˈwɑːr/,True,1
تنور,t ə n uː r,/tənˈuːr/,True,1
تومار,t uː m ɑː r,/tuːˈmɑːr/,True,1
تومر,t uː m ə r,/tuːˈmər/,True,1
جادوگر,d͡ʒ aː d uː ɡ ə r,/d͡ʒɑːduːˈɡər/,True,1
